no_sampel,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Inc,Loan_Amount,Term,Credit_History,Area,Status
1,Male,No,0,Graduate,No,584900,0,15000000,360,1,Urban,Y
2,Male,Yes,1,Graduate,No,458300,150800,12800000,360,1,Rural,N
3,Male,Yes,0,Graduate,Yes,300000,0,6600000,360,1,Urban,Y
4,Male,Yes,0,Not Graduate,No,258300,235800,12000000,360,1,Urban,Y
5,Male,No,0,Graduate,No,600000,0,14100000,360,1,Urban,Y
6,Male,Yes,2,Graduate,Yes,541700,419600,26700000,360,1,Urban,Y
7,Male,Yes,0,Not Graduate,No,233300,151600,9500000,360,1,Urban,Y
8,Male,Yes,3,Graduate,No,303600,250400,15800000,360,0,Rural,N
9,Male,Yes,2,Graduate,No,400600,152600,16800000,360,1,Urban,Y
10,Male,Yes,1,Graduate,No,1284100,1096800,34900000,360,1,Rural,N
11,Male,Yes,2,Graduate,No,320000,70000,7000000,360,1,Urban,Y
12,Male,Yes,2,Graduate,Yes,250000,184000,10900000,360,1,Urban,Y
13,Male,Yes,2,Graduate,No,307300,810600,20000000,360,1,Urban,Y
14,Male,No,0,Graduate,No,185300,284000,11400000,360,1,Rural,N
15,Male,Yes,2,Graduate,No,129900,108600,1700000,120,1,Urban,Y
16,Male,No,0,Graduate,No,495000,0,12500000,360,1,Urban,Y
17,Male,No,1,Not Graduate,No,359600,0,10000000,240,NA,Urban,Y
18,Female,No,0,Graduate,No,351000,0,7600000,360,0,Urban,N
19,Male,Yes,0,Not Graduate,No,488700,0,13300000,360,1,Rural,N
20,Male,Yes,0,Graduate,Yes,260000,350000,11500000,NA,1,Urban,Y
21,Male,Yes,0,Not Graduate,No,766000,0,10400000,360,0,Urban,N
22,Male,Yes,1,Graduate,No,595500,562500,31500000,360,1,Urban,Y
23,Male,Yes,0,Not Graduate,No,260000,191100,11600000,360,0,Rural,N
24,Male,Yes,2,Not Graduate,No,336500,191700,11200000,360,0,Rural,N
25,Male,Yes,1,Graduate,No,371700,292500,15100000,360,NA,Rural,N
26,Male,Yes,0,Graduate,Yes,956000,0,19100000,360,1,Rural,Y
27,Male,Yes,0,Graduate,No,279900,225300,12200000,360,1,Rural,Y
29,Male,No,0,Not Graduate,No,144200,0,3500000,360,1,Urban,N
30,Female,No,2,Graduate,Yes,375000,208300,12000000,360,1,Rural,Y
31,Male,Yes,1,Graduate,No,416600,336900,20100000,360,NA,Urban,N
32,Male,No,0,Graduate,No,316700,0,7400000,360,1,Urban,N
33,Male,No,1,Graduate,Yes,469200,0,10600000,360,1,Rural,N
34,Male,Yes,0,Graduate,No,350000,166700,11400000,360,1,Rural,Y
36,Male,Yes,0,Graduate,No,227500,206700,0,360,1,Urban,Y
37,Male,Yes,0,Graduate,No,182800,133000,10000000,NA,0,Urban,N
38,Female,Yes,0,Graduate,No,366700,145900,14400000,360,1,Rural,Y
39,Male,No,0,Graduate,No,416600,721000,18400000,360,1,Urban,Y
40,Male,No,0,Not Graduate,No,374800,166800,11000000,360,1,Rural,Y
41,Male,No,0,Graduate,No,360000,0,8000000,360,1,Urban,N
42,Male,No,0,Graduate,No,180000,121300,4700000,360,1,Urban,Y
43,Male,Yes,0,Graduate,No,240000,0,7500000,360,NA,Urban,Y
44,Male,Yes,0,Graduate,No,394100,233600,13400000,360,1,Rural,Y
45,Male,Yes,0,Not Graduate,Yes,469500,0,9600000,NA,1,Urban,Y
46,Female,No,0,Graduate,No,341000,0,8800000,NA,1,Urban,Y
47,Male,Yes,1,Graduate,No,564900,0,4400000,360,1,Urban,Y
48,Male,Yes,0,Graduate,No,582100,0,14400000,360,1,Urban,Y
49,Female,Yes,0,Graduate,No,264500,344000,12000000,360,0,Urban,N
50,Female,No,0,Graduate,No,400000,227500,14400000,360,1,Rural,Y
51,Female,Yes,0,Not Graduate,No,192800,164400,10000000,360,1,Rural,Y
52,Female,No,0,Graduate,No,308600,0,12000000,360,1,Rural,Y
53,Female,No,0,Graduate,No,423000,0,11200000,360,1,Rural,N
54,Male,Yes,2,Graduate,No,461600,0,13400000,360,1,Urban,N
55,Female,Yes,1,Graduate,Yes,1150000,0,28600000,360,0,Urban,N
56,Male,Yes,2,Graduate,No,270800,116700,9700000,360,1,Rural,Y
57,Male,Yes,0,Graduate,No,213200,159100,9600000,360,1,Rural,Y
58,Male,Yes,0,Graduate,No,336600,220000,13500000,360,1,Rural,N
59,Male,Yes,1,Graduate,No,808000,225000,18000000,360,1,Urban,Y
60,Male,Yes,2,Not Graduate,No,335700,285900,14400000,360,1,Urban,Y
61,Male,Yes,0,Graduate,No,250000,379600,12000000,360,1,Urban,Y
62,Male,Yes,4,Graduate,No,302900,0,9900000,360,1,Urban,Y
63,Male,Yes,0,Not Graduate,Yes,260900,344900,16500000,180,0,Rural,N
64,Male,Yes,1,Graduate,No,494500,0,0,360,0,Rural,N
65,Female,No,0,Graduate,No,416600,0,11600000,360,0,Rural,N
66,Male,Yes,0,Graduate,No,572600,459500,25800000,360,1,Rural,N
67,Male,No,0,Not Graduate,No,320000,225400,12600000,180,0,Urban,N
68,Male,Yes,1,Graduate,No,1075000,0,31200000,360,1,Urban,Y
70,Female,No,0,Graduate,No,430000,0,13600000,360,0,Rural,N
71,Male,Yes,0,Graduate,No,320800,306600,17200000,360,1,Urban,Y
72,Male,Yes,2,Not Graduate,Yes,187500,187500,9700000,360,1,Rural,Y
73,Male,No,0,Graduate,No,350000,0,8100000,300,1,Rural,Y
74,Male,Yes,5,Not Graduate,No,475500,0,9500000,NA,0,Rural,N
75,Male,Yes,6,Graduate,Yes,526600,177400,18700000,360,1,Rural,Y
76,Male,No,0,Graduate,No,375000,0,11300000,480,1,Urban,N
77,Male,No,0,Graduate,No,375000,475000,17600000,360,1,Urban,N
78,Male,Yes,1,Graduate,Yes,100000,302200,11000000,360,1,Urban,N
79,Male,Yes,3,Graduate,No,316700,4.00E+05,18000000,300,0,Rural,N
80,Male,Yes,3,Not Graduate,Yes,333300,216600,13000000,360,NA,Rural,Y
81,Female,No,0,Graduate,No,384600,0,11100000,360,1,Rural,Y
82,Male,Yes,1,Graduate,Yes,239500,0,0,360,1,Rural,Y
83,Female,Yes,2,Graduate,No,137800,188100,16700000,360,1,Urban,N
84,Male,Yes,0,Graduate,No,600000,225000,26500000,360,NA,Rural,N
85,Male,Yes,1,Graduate,No,398800,0,5000000,240,1,Urban,Y
86,Male,No,0,Graduate,No,236600,253100,13600000,360,1,Rural,Y
87,Male,Yes,2,Not Graduate,No,333300,2.00E+05,9900000,360,NA,Rural,Y
88,Male,Yes,0,Graduate,No,250000,211800,10400000,360,1,Rural,Y
89,Male,No,0,Graduate,No,856600,0,21000000,360,1,Urban,Y
90,Male,Yes,0,Graduate,No,569500,416700,17500000,360,1,Rural,Y
91,Male,Yes,0,Graduate,No,295800,290000,13100000,360,1,Rural,Y
92,Male,Yes,2,Graduate,No,625000,565400,18800000,180,1,Rural,Y
93,Male,Yes,2,Not Graduate,No,327300,182000,8100000,360,1,Urban,Y
94,Male,No,0,Graduate,No,413300,0,12200000,360,1,Rural,Y
95,Male,No,0,Not Graduate,No,362000,0,2500000,120,1,Rural,Y
96,Male,No,0,Graduate,No,678200,0,0,360,NA,Urban,N
97,Female,Yes,0,Graduate,No,248400,230200,13700000,360,1,Rural,Y
99,Male,Yes,0,Not Graduate,No,418800,0,11500000,180,1,Rural,Y
100,Male,Yes,0,Graduate,No,175900,354100,13100000,360,1,Rural,Y
101,Male,Yes,2,Not Graduate,No,428800,326300,13300000,180,1,Urban,Y
102,Male,No,0,Graduate,No,484300,380600,15100000,360,1,Rural,Y
103,Male,Yes,2,Graduate,No,1365000,0,0,360,1,Urban,Y
104,Male,Yes,0,Graduate,No,465200,358300,0,360,1,Rural,Y
105,Male,Yes,2,Graduate,No,381600,75400,16000000,360,1,Urban,Y
106,Male,Yes,1,Graduate,No,305200,103000,10000000,360,1,Urban,Y
107,Male,Yes,2,Graduate,No,1141700,112600,22500000,360,1,Urban,Y
108,Male,No,0,Not Graduate,No,733300,0,12000000,360,1,Rural,N
109,Male,Yes,2,Graduate,No,380000,360000,21600000,360,0,Urban,N
110,Male,Yes,3,Not Graduate,No,207100,75400,9400000,480,1,Rural,Y
111,Male,No,0,Graduate,No,531600,0,13600000,360,1,Urban,Y
112,Female,Yes,0,Graduate,Yes,292900,233300,13900000,360,1,Rural,Y
113,Male,Yes,0,Not Graduate,No,357200,411400,15200000,NA,0,Rural,N
114,Female,No,1,Graduate,Yes,745100,0,0,360,1,Rural,Y
115,Male,No,0,Graduate,Yes,505000,0,11800000,360,1,Rural,Y
116,Male,Yes,1,Graduate,No,1458300,0,18500000,180,1,Rural,Y
117,Female,Yes,0,Graduate,No,316700,228300,15400000,360,1,Rural,Y
118,Male,Yes,1,Graduate,No,221400,139800,8500000,360,NA,Urban,Y
119,Male,Yes,0,Graduate,No,556800,214200,17500000,360,1,Rural,N
120,Female,No,0,Graduate,No,1040800,0,25900000,360,1,Urban,Y
121,Male,Yes,4,Graduate,No,566700,266700,18000000,360,1,Rural,Y
122,Female,No,0,Graduate,No,416600,0,4400000,360,1,Rural,Y
123,Female,No,0,Graduate,No,213700,898000,13700000,360,0,Rural,Y
124,Male,Yes,2,Graduate,No,295700,0,8100000,360,1,Rural,Y
125,Male,Yes,0,Not Graduate,No,430000,201400,19400000,360,1,Rural,Y
126,Female,No,0,Graduate,No,369200,0,9300000,360,NA,Rural,Y
127,Male,Yes,3,Graduate,No,2380300,0,37000000,360,1,Rural,Y
128,Male,No,0,Graduate,No,386500,164000,0,360,1,Rural,Y
129,Male,Yes,1,Graduate,Yes,1051300,385000,16000000,180,0,Urban,N
130,Male,Yes,0,Graduate,No,608000,256900,18200000,360,NA,Rural,N
132,Male,No,0,Graduate,No,201400,192900,7400000,360,1,Urban,Y
133,Male,No,0,Graduate,No,271800,0,7000000,360,1,Rural,Y
134,Male,Yes,0,Graduate,Yes,345900,0,2500000,120,1,Rural,Y
135,Male,No,0,Graduate,No,489500,0,10200000,360,1,Rural,Y
136,Male,Yes,5,Graduate,No,400000,775000,29000000,360,1,Rural,N
137,Female,Yes,0,Graduate,No,458300,0,8400000,360,1,Rural,N
138,Male,Yes,2,Graduate,Yes,331600,350000,8800000,360,1,Urban,Y
139,Male,No,0,Graduate,No,1499900,0,24200000,360,0,Rural,N
140,Male,Yes,2,Not Graduate,No,420000,143000,12900000,360,1,Rural,N
141,Male,Yes,2,Graduate,No,504200,208300,18500000,360,1,Rural,N
142,Male,No,0,Graduate,No,541700,0,16800000,360,1,Urban,Y
143,Male,No,0,Graduate,Yes,695000,0,17500000,180,1,Rural,Y
144,Male,Yes,0,Graduate,No,269800,203400,12200000,360,1,Rural,Y
145,Male,Yes,2,Graduate,No,1175700,0,18700000,180,1,Urban,Y
146,Female,Yes,0,Graduate,No,233000,448600,10000000,360,1,Rural,Y
147,Female,Yes,2,Graduate,No,1486600,0,7000000,360,1,Urban,Y
148,Male,Yes,1,Graduate,No,153800,142500,3000000,360,1,Urban,Y
149,Female,No,0,Graduate,No,1000000,166600,22500000,360,1,Rural,N
150,Male,Yes,0,Graduate,No,486000,83000,12500000,360,1,Rural,Y
151,Male,No,0,Graduate,No,627700,0,11800000,360,0,Rural,N
152,Male,Yes,0,Graduate,Yes,257700,375000,15200000,360,1,Rural,Y
153,Male,No,0,Graduate,No,916600,0,24400000,360,1,Urban,N
154,Male,Yes,2,Not Graduate,No,228100,0,11300000,360,1,Rural,N
155,Male,No,0,Graduate,No,325400,0,5000000,360,1,Urban,Y
156,Male,Yes,4,Graduate,No,3999900,0,60000000,180,0,Rural,Y
157,Male,Yes,1,Graduate,No,600000,0,16000000,360,NA,Rural,Y
158,Male,Yes,1,Graduate,No,953800,0,18700000,360,1,Urban,Y
159,Male,No,0,Graduate,Yes,298000,208300,12000000,360,1,Rural,Y
160,Male,Yes,0,Graduate,No,458300,562500,25500000,360,1,Rural,Y
161,Male,Yes,0,Not Graduate,No,186300,104100,9800000,360,1,Rural,Y
162,Male,Yes,0,Graduate,No,793300,0,27500000,360,1,Urban,N
163,Male,Yes,1,Graduate,No,308900,128000,12100000,360,0,Rural,N
164,Male,Yes,2,Graduate,No,416700,144700,15800000,360,1,Rural,Y
165,Male,Yes,0,Graduate,No,932300,0,7500000,180,1,Urban,Y
166,Male,Yes,0,Graduate,No,370700,316600,18200000,NA,1,Rural,Y
167,Female,Yes,0,Graduate,No,458300,0,11200000,360,1,Rural,N
168,Male,Yes,0,Graduate,No,243900,333300,12900000,360,1,Rural,Y
169,Male,No,0,Graduate,No,223700,0,6300000,480,0,Rural,N
170,Male,Yes,2,Graduate,No,800000,0,20000000,360,1,Rural,Y
172,Male,Yes,7,Graduate,No,5176300,0,70000000,300,1,Urban,Y
173,Male,Yes,3,Not Graduate,No,352200,0,8100000,180,1,Rural,N
174,Male,Yes,0,Graduate,No,570800,562500,18700000,360,1,Rural,Y
175,Male,Yes,0,Not Graduate,Yes,434400,73600,8700000,360,1,Rural,N
176,Male,Yes,0,Graduate,No,349700,196400,11600000,360,1,Rural,Y
177,Male,Yes,2,Graduate,No,204500,161900,10100000,360,1,Rural,Y
178,Male,Yes,3,Graduate,No,551600,1130000,49500000,360,0,Rural,N
179,Male,Yes,1,Graduate,No,375000,0,11600000,360,1,Rural,Y
180,Male,No,0,Not Graduate,No,233300,145100,10200000,480,0,Urban,N
181,Male,Yes,1,Graduate,No,640000,725000,18000000,360,0,Urban,N
182,Male,No,0,Graduate,No,191600,506300,6700000,360,NA,Rural,N
183,Male,Yes,0,Graduate,No,460000,0,7300000,180,1,Rural,Y
184,Male,Yes,1,Graduate,No,3384600,0,26000000,360,1,Rural,N
185,Female,Yes,0,Graduate,No,362500,0,10800000,360,1,Rural,Y
186,Male,Yes,0,Graduate,Yes,3914700,475000,12000000,360,1,Rural,Y
187,Male,Yes,1,Graduate,Yes,217800,0,6600000,300,0,Rural,N
188,Male,Yes,0,Graduate,No,238300,213800,5800000,360,NA,Rural,Y
189,Female,Yes,0,Graduate,Yes,67400,529600,16800000,360,1,Rural,Y
190,Male,Yes,0,Graduate,No,932800,0,18800000,180,1,Rural,Y
191,Male,No,0,Not Graduate,No,488500,0,4800000,360,1,Rural,Y
192,Male,No,0,Graduate,No,1200000,0,16400000,360,1,Rural,N
194,Male,No,0,Graduate,No,385800,0,7600000,360,1,Rural,Y
195,Male,No,0,Graduate,No,419100,0,12000000,360,1,Rural,Y
196,Male,Yes,1,Graduate,No,312500,258300,17000000,360,1,Rural,N
197,Male,No,0,Graduate,No,833300,375000,18700000,360,1,Rural,Y
198,Female,No,0,Not Graduate,No,190700,236500,12000000,NA,1,Urban,Y
199,Female,Yes,0,Graduate,No,341600,281600,11300000,360,NA,Rural,Y
200,Male,No,0,Graduate,Yes,1100000,0,8300000,360,1,Urban,N
201,Male,Yes,1,Not Graduate,No,260000,250000,9000000,360,1,Rural,Y
202,Male,No,2,Graduate,No,492300,0,16600000,360,0,Rural,Y
203,Male,Yes,3,Not Graduate,No,399200,0,0,180,1,Urban,N
204,Male,Yes,1,Not Graduate,No,350000,108300,13500000,360,1,Urban,Y
205,Male,Yes,2,Not Graduate,No,391700,0,12400000,360,1,Rural,Y
206,Female,No,0,Not Graduate,No,440800,0,12000000,360,1,Rural,Y
207,Female,No,0,Graduate,No,324400,0,8000000,360,1,Urban,Y
208,Male,No,0,Not Graduate,No,397500,253100,5500000,360,1,Rural,Y
209,Male,No,0,Graduate,No,247900,0,5900000,360,1,Urban,Y
210,Male,No,0,Graduate,No,341800,0,12700000,360,1,Rural,N
211,Female,No,0,Graduate,No,1000000,0,21400000,360,1,Rural,N
212,Male,Yes,5,Graduate,No,343000,125000,12800000,360,0,Rural,N
213,Male,Yes,1,Graduate,Yes,778700,0,24000000,360,1,Urban,Y
214,Male,Yes,6,Not Graduate,Yes,570300,0,13000000,360,1,Rural,Y
215,Male,Yes,0,Graduate,No,317300,302100,13700000,360,1,Urban,Y
216,Male,Yes,3,Not Graduate,No,385000,98300,10000000,360,1,Rural,Y
217,Male,Yes,0,Graduate,No,15000,180000,13500000,360,1,Rural,N
218,Male,Yes,0,Graduate,No,372700,177500,13100000,360,1,Rural,Y
219,Male,Yes,2,Graduate,No,500000,0,7200000,360,0,Rural,N
220,Female,Yes,2,Graduate,No,428300,238300,12700000,360,NA,Rural,Y
221,Male,Yes,0,Graduate,No,222100,0,6000000,360,0,Urban,N
222,Male,Yes,2,Graduate,No,400900,171700,11600000,360,1,Rural,Y
223,Male,No,0,Graduate,No,297100,279100,14400000,360,1,Rural,Y
224,Male,Yes,0,Graduate,No,757800,101000,17500000,NA,1,Rural,Y
225,Male,Yes,0,Graduate,No,625000,0,12800000,360,1,Rural,Y
227,Male,Yes,3,Not Graduate,Yes,473500,0,13800000,360,1,Urban,N
228,Male,Yes,2,Graduate,No,625000,169500,21000000,360,1,Rural,Y
229,Male,No,3,Graduate,No,475800,0,15800000,480,1,Rural,Y
230,Male,No,0,Graduate,Yes,640000,0,20000000,360,1,Rural,Y
231,Male,Yes,1,Graduate,No,249100,205400,10400000,360,1,Rural,Y
232,Male,Yes,0,Graduate,Yes,371600,0,4200000,180,1,Rural,Y
234,Female,No,0,Graduate,No,833300,0,28000000,360,1,Rural,Y
235,Male,Yes,1,Graduate,No,315500,177900,14000000,360,1,Rural,Y
236,Male,Yes,1,Graduate,No,550000,126000,17000000,360,1,Rural,Y
237,Male,Yes,0,Graduate,No,574600,0,25500000,360,NA,Urban,N
238,Female,No,0,Graduate,Yes,346300,0,12200000,360,NA,Urban,Y
239,Female,No,1,Graduate,No,381200,0,11200000,360,1,Rural,Y
240,Male,Yes,1,Graduate,No,331500,0,9600000,360,1,Rural,Y
241,Male,Yes,2,Graduate,No,581900,5.00E+05,12000000,360,1,Rural,Y
242,Male,Yes,1,Not Graduate,No,251000,198300,14000000,180,1,Urban,N
243,Male,No,0,Graduate,No,296500,570100,15500000,60,1,Urban,Y
244,Male,Yes,2,Graduate,Yes,625000,130000,10800000,360,1,Rural,Y
245,Male,Yes,0,Not Graduate,No,340600,441700,12300000,360,1,Rural,Y
246,Male,No,0,Graduate,Yes,605000,433300,12000000,180,1,Urban,N
247,Male,Yes,2,Graduate,No,970300,0,11200000,360,1,Urban,Y
249,Male,Yes,1,Graduate,No,288200,184300,12300000,480,1,Rural,Y
250,Male,Yes,0,Graduate,No,180900,186800,9000000,360,1,Urban,Y
252,Female,No,2,Graduate,No,342700,0,13800000,360,1,Urban,N
253,Male,No,0,Not Graduate,Yes,258300,216700,10400000,360,1,Rural,Y
254,Male,Yes,1,Not Graduate,No,266100,710100,27900000,180,1,Rural,Y
255,Male,No,0,Graduate,Yes,1625000,0,19200000,360,0,Urban,N
256,Female,No,4,Graduate,No,308300,0,25500000,360,1,Rural,Y
257,Male,No,0,Not Graduate,No,604500,0,11500000,360,0,Rural,N
258,Male,Yes,3,Graduate,No,525000,0,9400000,360,1,Urban,N
259,Male,Yes,0,Graduate,No,1468300,210000,30400000,360,1,Rural,N
260,Male,Yes,5,Not Graduate,No,493100,0,12800000,360,NA,Rural,N
261,Male,Yes,1,Graduate,No,608300,425000,33000000,360,NA,Urban,Y
262,Male,No,0,Graduate,No,206000,220900,13400000,360,1,Rural,Y
263,Female,No,1,Graduate,No,348100,0,15500000,36,1,Rural,N
264,Female,No,0,Graduate,No,720000,0,12000000,360,1,Rural,Y
265,Male,No,0,Graduate,Yes,516600,0,12800000,360,1,Rural,Y
267,Male,Yes,2,Graduate,No,470800,138700,15000000,360,1,Rural,Y
269,Female,No,0,Graduate,No,341800,0,13500000,360,1,Rural,N
270,Female,No,1,Graduate,No,287600,156000,9000000,360,1,Urban,Y
271,Female,No,0,Graduate,No,323700,0,3000000,360,1,Urban,Y
272,Male,Yes,0,Graduate,No,1114600,0,13600000,360,1,Urban,Y
273,Male,No,0,Graduate,No,283300,185700,12600000,360,1,Rural,Y
274,Male,Yes,0,Graduate,No,262000,222300,15000000,360,1,Rural,Y
275,Male,Yes,2,Graduate,No,390000,0,9000000,360,1,Rural,Y
276,Male,Yes,1,Graduate,No,275000,184200,11500000,360,1,Rural,Y
277,Male,Yes,0,Graduate,No,399300,327400,20700000,360,1,Rural,Y
278,Male,Yes,0,Graduate,No,310300,130000,8000000,360,1,Urban,Y
279,Male,Yes,0,Graduate,No,1458300,0,43600000,360,1,Rural,Y
280,Female,Yes,0,Not Graduate,No,410000,0,12400000,360,NA,Rural,Y
281,Male,No,1,Not Graduate,Yes,405300,242600,15800000,360,0,Urban,N
282,Male,Yes,0,Graduate,No,392700,80000,11200000,360,1,Rural,Y
283,Male,Yes,2,Graduate,No,230100,98579.99878,7800000,180,1,Urban,Y
285,Male,Yes,0,Graduate,No,2066700,0,0,360,1,Rural,N
286,Male,No,0,Graduate,No,315800,305300,8900000,360,1,Rural,Y
287,Female,No,0,Graduate,Yes,260000,171700,9900000,300,1,Rural,N
288,Male,Yes,0,Graduate,No,370400,2.00E+05,12000000,360,1,Rural,Y
289,Female,No,0,Graduate,No,412400,0,11500000,360,1,Rural,Y
290,Male,No,0,Graduate,No,950800,0,18700000,360,1,Rural,Y
292,Male,Yes,2,Graduate,No,440000,0,12700000,360,0,Rural,N
293,Male,Yes,2,Graduate,No,315300,156000,13400000,360,1,Urban,Y
294,Female,No,3,Graduate,No,541700,0,14300000,480,0,Urban,N
295,Male,Yes,0,Graduate,No,238300,333400,17200000,360,1,Rural,Y
296,Male,Yes,5,Graduate,Yes,441600,125000,11000000,360,1,Urban,Y
297,Male,Yes,1,Graduate,No,687500,0,20000000,360,1,Rural,Y
298,Female,Yes,1,Graduate,No,466600,0,13500000,360,1,Urban,Y
299,Female,No,0,Graduate,No,500000,254100,15100000,480,1,Rural,N
300,Male,Yes,1,Graduate,No,201400,292500,11300000,360,1,Urban,N
301,Male,Yes,0,Not Graduate,No,180000,293400,9300000,360,0,Urban,N
302,Male,Yes,5,Not Graduate,No,287500,175000,10500000,360,1,Rural,Y
303,Female,No,0,Graduate,No,500000,0,13200000,360,1,Rural,Y
305,Male,No,0,Graduate,No,400000,250000,14000000,360,1,Rural,Y
306,Male,No,0,Not Graduate,No,200000,0,0,360,1,Urban,N
307,Female,No,0,Graduate,No,376200,166600,13500000,360,1,Rural,Y
308,Female,No,0,Graduate,No,240000,186300,10400000,360,0,Urban,N
